Агар пищевой	4.0	    0.0	    76.0	301
Приправа Vegeta для рыбы	Приправа Vegeta для рыбы	8.1	1.3	30.5	166
Приправа Vegeta для салата	Приправа Vegeta для салата	8.8	0.6	29.8	160
Приправа Vegeta для салата с укропом	Приправа Vegeta для салата с укропом	9.8	1.3	18.0	123
Приправа Vegeta для салата с чесноком	Приправа Vegeta для салата с чесноком	8.8	0.8	25.2	143
Приправа Vegeta для свинины	Приправа Vegeta для свинины	7.9	0.9	25.3	141
Приправа Vegeta для шашлыка	Приправа Vegeta для шашлыка	9.1	1.2	26.8	154
Приправа Vegeta Легкая	Приправа Vegeta Легкая	6.0	0.4	26.5	134
Приправа Vegeta Пряная	Приправа Vegeta Пряная	9.3	0.6	24.0	139
Приправа Vegeta Универсальная	Приправа Vegeta Универсальная	8.5	0.6	24.0	137
Приправа грибная	Приправа грибная	2.0	2.0	4.0	40
Приправа Дерзкое яблоко	Приправа Дерзкое яблоко	2.5	1.0	60.0	253
Приправа для баранины	Приправа для баранины	2.0	6.0	25.5	144
Приправа для борща	Приправа для борща	10.3	1.5	29.5	173
Приправа для гуляша	Приправа для гуляша	6.0	2.0	25.5	144
Приправа для картофеля	Приправа для картофеля	6.0	2.0	25.5	144
Приправа для курицы	Приправа для курицы	8.4	1.2	29.1	161
Приправа для моркови по-корейски	Приправа для моркови по-корейски	8.2	1.2	28.5	158
Приправа для мяса	Приправа для мяса	6.0	2.0	25.5	144
Приправа для пельменей	Приправа для пельменей	6.0	2.0	25.5	144
Приправа для пиццы	Приправа для пиццы	10.4	1.5	29.5	173
Приправа для плова	Приправа для плова	10.3	1.5	29.5	173
Приправа для риса	Приправа для риса	11.4	0.8	24.8	152
Приправа для рыбы	Приправа для рыбы	8.1	1.3	30.5	166
Приправа для сала	Приправа для сала	8.4	1.2	29.1	161
Приправа для салата	Приправа для салата	11.4	0.8	24.8	152
Приправа для супа	Приправа для супа	10.3	1.5	29.5	173
Приправа для тыквенного пирога	Приправа для тыквенного пирога	5.8	12.6	69.3	412
Приправа для ухи	Приправа для ухи	8.1	1.3	30.5	166
Приправа для фарша	6.0	2.0	25.5	144
Приправа для шашлыка	Приправа для шашлыка	8.4	1.2	29.1	161
Приправа Маласянь	Приправа Маласянь	7.5	3.8	28.5	180
Приправа Мивина куриная	Приправа Мивина куриная	0.5	6.7	19.6	141
Приправа овощная	Приправа овощная	10.3	1.5	29.5	173
Приправа Смесь перцев	Приправа Смесь перцев	10.9	3.2	38.3	255
Приправа универсальная	Приправа универсальная	7.8	0.7	12.8	89
Псиллиум	Псиллиум	2.9	0.1	7.3	42
Пудинг Dr.Oetker классический с ванильным вкусом	Пудинг Dr.Oetker классический с ванильным вкусом	0.3	0.0	87.0	349
Пудинг Dr.Oetker с бельгийским шоколадом	Пудинг Dr.Oetker с бельгийским шоколадом	5.8	6.8	66.3	350
Пчелиная пыльца	Пчелиная пыльца	12.9	0.8	38.7	215
Разрыхлитель теста	Разрыхлитель теста	0.1	0.0	19.6	79
Ржаное сусло	Ржаное сусло	19.0	1.0	61.8	315
Розмарин	Розмарин	3.3	5.9	20.7	131
Розмарин сушеный	Розмарин сушеный	4.8	15.2	64.0	331
Розовая эссенция	Розовая эссенция	0.0	0.0	0.0	
