Суши Тамаго-яки	Суши Тамаго-яки	5.2	7.2	16.0	149
Суши Тобико	Суши Тобико	12.8	4.0	15.6	149
Суши Унаги	Суши Унаги	7.2	12.8	15.2	204
Суши Хамачи	Суши Хамачи	8.0	4.8	15.2	136
Суши Хияши	Суши Хияши	5.0	3.6	15.6	114
Суши Хотатэ	Суши Хотатэ	3.6	1.6	16.0	93
Суши Эби	Суши Эби	7.0	0.8	15.6	97
Сякэ тэрияки	Сякэ тэрияки	12.9	5.2	16.2	168
Тамагояки тяхан	Тамагояки тяхан	5.8	5.4	11.1	116
Тонкацу тяхан	Тонкацу тяхан	1.9	1.2	25.3	120
Тори папурика	Тори папурика	8.3	10.3	10.3	167
Уми каигара	Уми каигара	4.6	2.8	15.6	106
Умисай гюнику	Умисай гюнику	9.9	5.1	9.2	122
Унайдзю	Унайдзю	6.5	8.0	10.8	142
Харусамэ тамагояки	Харусамэ тамагояки	7.7	2.5	20.5	135
Хорэнсо сяке	Хорэнсо сяке	26.6	8.1	3.8	154
Хотатэ фурай	Хотатэ фурай	7.0	3.6	13.0	128
Широми фурай	Широми фурай	7.5	5.1	8.2	108
Эби папурика	Эби папурика	7.0	9.0	8.7	143
Эби рамэн яки	Эби рамэн яки	7.1	3.3	20.1	139
Ясай темпура	Ясай темпура	2.9	4.5	7.4	83
Ясай шитаке удон	Ясай шитаке удон	2.3	2.7	21.6	120
